,Country name,year,stringency_index,facial_coverings,cancel_public_events,Life Ladder
0,Albania,2020,66.97555556,1,2,5.365
1,Albania,2021,48.38083333,4,1,5.255
2,Albania,2022,22.53166667,2,0,5.212
3,Argentina,2020,88.88777778,3,2,5.901
4,Argentina,2021,67.01916667,3,2,5.908
5,Argentina,2022,20.38416667,1,0,6.261
6,Australia,2020,58.33363636,0,2,7.137
7,Australia,2021,64.97083333,3,2,7.112
8,Australia,2022,25.53666667,2,0,7.035
9,Austria,2020,51.943,2,2,7.213
10,Austria,2021,63.22166667,3,2,7.08
11,Austria,2022,40.02833333,2,1,6.999
12,Bangladesh,2020,79.42222222,4,2,5.28
13,Bangladesh,2021,68.47916667,4,2,4.123
14,Bangladesh,2022,19.67666667,4,0,3.408
15,Belgium,2020,58.055,3,2,6.839
16,Belgium,2021,50.35166667,3,1,6.882
17,Belgium,2022,16.61083333,2,0,6.857
18,Benin,2020,49.28,3,1,4.408
19,Benin,2021,40.70333333,4,2,4.493
20,Benin,2022,19.98916667,2,0,4.217
21,Bolivia,2020,83.64111111,3,2,5.559
22,Bolivia,2021,34.64416667,4,0,5.569
23,Bolivia,2022,25.82916667,4,1,5.929
24,Brazil,2020,64.028,4,2,6.11
25,Brazil,2021,60.42166667,4,2,6.01
26,Brazil,2022,29.16583333,2,0,6.257
27,Bulgaria,2020,49.79555556,2,1,5.598
28,Bulgaria,2021,46.82833333,3,2,5.422
29,Bulgaria,2022,20.6425,0,0,5.378
30,Cambodia,2020,44.61181818,1,0,4.377
31,Cambodia,2021,73.02166667,3,2,4.555
32,Cambodia,2022,22.225,2,0,4.25
33,Cameroon,2020,54.32333333,3,2,5.241
34,Cameroon,2021,30.94166667,3,1,4.963
35,Cameroon,2022,22.68666667,3,1,4.712
36,Canada,2020,57.45090909,3,2,7.025
37,Canada,2021,70.71083333,3,2,6.939
38,Canada,2022,27.51666667,2,0,6.918
39,Chile,2020,74.122,2,2,6.151
40,Chile,2021,65.92583333,3,2,6.436
41,Chile,2022,24.61416667,2,1,6.415
42,Colombia,2020,78.70555556,4,2,5.709
43,Colombia,2021,61.09583333,3,2,5.29
44,Colombia,2022,28.09,3,0,5.892
45,Costa Rica,2020,65.68888889,0,2,6.338
46,Costa Rica,2021,57.67916667,3,2,6.408
47,Costa Rica,2022,19.07666667,2,0,7.077
48,Croatia,2020,48.89,0,1,6.508
49,Croatia,2021,41.32083333,3,1,6.287
50,Croatia,2022,17.745,2,0,5.579
51,Cyprus,2020,66.04777778,0,2,6.26
52,Cyprus,2021,60.19583333,3,1,6.269
53,Cyprus,2022,25.67916667,3,0,5.865
54,Czechia,2020,51.59444444,3,1,6.897
55,Czechia,2021,57.59916667,2,1,6.942
56,Czechia,2022,19.47333333,1,0,6.695
57,Denmark,2020,51.667,0,1,7.515
58,Denmark,2021,46.3575,2,2,7.699
59,Denmark,2022,13.06083333,0,0,7.545
60,Dominican Republic,2020,80.34777778,3,2,5.168
61,Dominican Republic,2021,61.42083333,3,2,6.031
62,Dominican Republic,2022,12.92833333,0,0,5.518
63,Ecuador,2020,73.30333333,3,2,5.354
64,Ecuador,2021,60.6625,3,2,5.435
65,Ecuador,2022,26.59583333,2,0,5.887
66,Egypt,2020,68.612,3,2,4.472
67,Egypt,2021,44.555,3,2,4.026
68,Egypt,2022,26.6675,3,0,4.024
69,El Salvador,2020,77.36555556,3,2,5.462
70,El Salvador,2021,34.1825,4,1,6.431
71,El Salvador,2022,26.94,4,0,6.492
72,Estonia,2020,40.465,1,1,6.453
73,Estonia,2021,39.37833333,2,1,6.554
74,Estonia,2022,23.2375,1,0,6.357
75,Finland,2020,39.26909091,0,1,7.889
76,Finland,2021,42.32333333,1,1,7.794
77,Finland,2022,16.42083333,1,0,7.729
78,France,2020,58.12272727,4,2,6.714
79,France,2021,53.92083333,4,1,6.656
80,France,2022,20.75833333,2,0,6.614
81,Gabon,2020,76.02888889,3,2,4.887
82,Gabon,2021,62.80833333,3,2,5.075
83,Gabon,2022,20.6125,2,0,5.14
84,Georgia,2020,66.019,2,2,5.123
85,Georgia,2021,55.09083333,3,2,4.911
86,Georgia,2022,16.66833333,2,0,5.293
87,Germany,2020,54.79818182,2,2,7.312
88,Germany,2021,62.3975,2,2,6.755
89,Germany,2022,22.08833333,2,0,6.608
90,Ghana,2020,54.01222222,4,2,5.319
91,Ghana,2021,42.36,4,2,4.378
92,Ghana,2022,43.2575,1,2,4.191
93,Greece,2020,59.119,2,2,5.788
94,Greece,2021,72.9875,4,1,6.104
95,Greece,2022,32.1475,2,1,5.9
96,Guinea,2020,68.31222222,4,2,4.972
97,Guinea,2021,60.0,3,2,4.945
98,Guinea,2022,45.3175,3,2,5.317
99,Hungary,2020,57.40555556,2,2,6.038
100,Hungary,2021,49.57833333,2,1,6.227
101,Hungary,2022,11.33583333,2,0,5.861
102,Iceland,2020,43.981,0,2,7.575
103,Iceland,2021,39.73833333,2,1,7.565
104,Iceland,2022,15.17666667,0,0,7.449
105,India,2020,68.64545455,4,2,4.224
106,India,2021,67.15083333,4,2,3.558
107,India,2022,42.43666667,3,0,3.93
108,Indonesia,2020,64.71333333,4,2,4.828
109,Indonesia,2021,68.86916667,4,2,5.433
110,Indonesia,2022,41.805,2,0,5.585
111,Iran,2020,53.75,0,2,4.865
112,Iran,2021,73.9975,3,2,4.788
113,Iran,2022,56.585,2,2,4.977
114,Ireland,2020,64.165,0,2,7.035
115,Ireland,2021,61.60583333,3,1,6.828
116,Ireland,2022,13.60083333,1,0,6.87
117,Israel,2020,61.574,3,2,7.195
118,Israel,2021,52.66666667,2,1,7.578
119,Israel,2022,21.18,2,0,7.662
120,Italy,2020,68.47545455,4,2,6.488
121,Italy,2021,64.29666667,4,2,6.467
122,Italy,2022,27.65916667,2,0,6.258
123,Jamaica,2020,78.60111111,3,2,5.425
124,Jamaica,2021,73.30166667,3,2,5.814
125,Jamaica,2022,26.90833333,0,0,5.87
126,Japan,2020,33.16545455,1,1,6.118
127,Japan,2021,48.68666667,1,1,6.091
128,Japan,2022,40.20583333,1,1,6.178
129,Jordan,2020,73.45666667,0,2,4.094
130,Jordan,2021,50.54,2,1,3.909
131,Jordan,2022,16.20333333,2,0,4.356
132,Kazakhstan,2020,79.32333333,3,2,6.168
133,Kazakhstan,2021,66.975,3,2,6.26
134,Kazakhstan,2022,26.545,1,0,6.006
135,Kenya,2020,72.01777778,3,2,4.547
136,Kenya,2021,57.0375,4,2,4.465
137,Kenya,2022,42.40916667,1,2,4.448
138,Kosovo,2020,71.60555556,0,2,6.294
139,Kosovo,2021,52.08333333,3,1,6.648
140,Kosovo,2022,38.24083333,1,2,6.16
141,Kyrgyzstan,2020,74.12444444,3,2,6.25
142,Kyrgyzstan,2021,47.53,2,2,5.564
143,Kyrgyzstan,2022,31.01666667,2,2,5.668
144,Latvia,2020,49.69111111,2,0,6.229
145,Latvia,2021,50.35333333,3,2,6.353
146,Latvia,2022,17.16333333,2,0,6.055
147,Lebanon,2020,70.093,3,2,2.634
148,Lebanon,2021,65.005,3,1,2.179
149,Lebanon,2022,31.2525,1,1,2.352
150,Lithuania,2020,51.156,0,2,6.391
151,Lithuania,2021,48.16166667,2,1,6.865
152,Lithuania,2022,14.83166667,1,0,7.038
153,Mali,2020,50.92555556,3,1,4.269
154,Mali,2021,44.75166667,3,2,4.113
155,Mali,2022,29.7525,0,2,4.211
156,Malta,2020,57.71666667,0,2,6.157
157,Malta,2021,52.315,4,2,6.444
158,Malta,2022,24.29916667,2,0,6.299
159,Mauritius,2020,38.99222222,3,0,6.015
160,Mauritius,2021,47.95166667,3,1,5.949
161,Mauritius,2022,21.2575,2,0,5.741
162,Mexico,2020,67.362,4,2,5.964
163,Mexico,2021,52.19833333,4,1,5.991
164,Mexico,2022,25.62416667,2,1,7.038
165,Moldova,2020,66.15444444,2,2,5.812
166,Moldova,2021,55.7075,3,2,5.959
167,Moldova,2022,19.0375,1,0,5.687
168,Mongolia,2020,61.73,2,2,6.011
169,Mongolia,2021,61.035,4,2,5.721
170,Mongolia,2022,12.26833333,2,0,5.788
171,Morocco,2020,77.26444444,4,2,4.803
172,Morocco,2021,69.03333333,3,2,5.326
173,Morocco,2022,34.22666667,3,0,4.596
174,Namibia,2020,55.24666667,3,1,4.451
175,Namibia,2021,44.32833333,3,1,4.491
176,Namibia,2022,17.90166667,0,1,4.949
177,Nepal,2020,70.53909091,0,2,5.982
178,Nepal,2021,55.05416667,4,1,4.622
179,Nepal,2022,35.6125,4,1,5.474
180,Netherlands,2020,55.371,2,2,7.504
181,Netherlands,2021,57.75833333,2,2,7.314
182,Netherlands,2022,23.1175,0,0,7.39
183,New Zealand,2020,41.48,0,0,7.257
184,New Zealand,2021,45.91,2,0,7.137
185,New Zealand,2022,25.1425,2,0,6.975
186,Nicaragua,2020,15.43111111,0,0,6.287
187,Nicaragua,2021,9.256666667,1,0,6.095
188,Nicaragua,2022,12.03666667,0,0,6.392
189,Norway,2020,46.805,0,0,7.29
190,Norway,2021,49.26666667,2,1,7.362
191,Norway,2022,15.6625,1,0,7.295
192,Paraguay,2020,78.59888889,0,2,5.501
193,Paraguay,2021,49.15083333,3,1,5.576
194,Paraguay,2022,21.16166667,2,0,6.138
195,Peru,2020,83.95,3,2,4.994
196,Peru,2021,64.20916667,4,2,5.694
197,Peru,2022,30.72166667,3,1,5.892
198,Poland,2020,58.43555556,3,2,6.139
199,Poland,2021,54.85333333,2,1,5.978
200,Poland,2022,18.61916667,2,0,6.666
201,Portugal,2020,69.85666667,2,2,5.768
202,Portugal,2021,61.95666667,3,2,6.183
203,Portugal,2022,17.97833333,2,0,5.953
204,Romania,2020,55.001,0,2,6.785
205,Romania,2021,60.55583333,4,2,6.549
206,Romania,2022,20.60083333,1,0,6.437
207,Russia,2020,49.87545455,2,2,5.495
208,Russia,2021,46.68083333,2,2,5.448
209,Russia,2022,32.26916667,2,2,6.044
210,Saudi Arabia,2020,70.11333333,3,2,6.56
211,Saudi Arabia,2021,54.40083333,3,2,6.445
212,Saudi Arabia,2022,27.91,2,0,6.382
213,Senegal,2020,52.88111111,0,2,4.757
214,Senegal,2021,25.84666667,3,0,4.903
215,Senegal,2022,13.89,3,0,4.907
216,Slovenia,2020,62.08777778,2,2,6.462
217,Slovenia,2021,55.72833333,3,2,6.761
218,Slovenia,2022,18.53666667,2,0,6.723
219,South Korea,2020,52.35818182,2,2,5.793
220,South Korea,2021,51.21833333,3,2,6.113
221,South Korea,2022,22.84083333,3,0,5.95
222,Spain,2020,57.32454545,3,2,6.502
223,Spain,2021,57.77583333,4,2,6.47
224,Spain,2022,24.2225,2,1,6.337
225,Sweden,2020,50.50545455,0,2,7.314
226,Sweden,2021,46.63,0,2,7.439
227,Sweden,2022,16.19916667,0,0,7.431
228,Switzerland,2020,46.992,0,2,7.508
229,Switzerland,2021,49.03166667,2,1,7.328
230,Switzerland,2022,15.01,0,0,6.884
231,Tanzania,2020,29.83444444,2,0,3.786
232,Tanzania,2021,12.19083333,1,0,3.681
233,Tanzania,2022,9.720833333,0,0,3.616
234,Thailand,2020,47.26454545,3,1,5.885
235,Thailand,2021,54.86,4,2,5.638
236,Thailand,2022,27.16166667,1,1,6.007
237,Tunisia,2020,56.48111111,0,0,4.731
238,Tunisia,2021,63.30666667,3,2,4.499
239,Tunisia,2022,42.37833333,3,2,4.261
240,Ukraine,2020,65.33,3,1,5.27
241,Ukraine,2021,55.8225,3,2,5.311
242,Ukraine,2022,16.5225,0,0,4.637
243,United Arab Emirates,2020,53.87090909,3,2,6.458
244,United Arab Emirates,2021,50.59416667,3,2,6.733
245,United Arab Emirates,2022,31.59083333,2,1,6.738
246,United Kingdom,2020,60.18454545,3,2,6.798
247,United Kingdom,2021,59.51666667,3,1,6.867
248,United Kingdom,2022,15.75916667,1,0,6.722
249,United States,2020,58.54363636,4,2,7.028
250,United States,2021,57.3975,2,2,6.959
251,United States,2022,31.93666667,2,0,6.693
252,Uruguay,2020,49.89777778,2,2,6.31
253,Uruguay,2021,58.875,2,1,6.502
254,Uruguay,2022,16.25833333,1,0,6.671
255,Uzbekistan,2020,64.19555556,3,2,5.842
256,Uzbekistan,2021,44.985,3,1,6.185
257,Uzbekistan,2022,21.53,1,0,6.016
258,Venezuela,2020,85.08333333,3,2,4.574
259,Venezuela,2021,81.63583333,4,2,5.108
260,Venezuela,2022,20.06083333,3,0,5.949
261,Vietnam,2020,62.83545455,2,2,5.462
262,Vietnam,2021,69.09583333,3,2,5.54
263,Vietnam,2022,39.045,3,1,6.267
264,Zimbabwe,2020,78.70444444,0,2,3.16
265,Zimbabwe,2021,63.57916667,3,2,3.155
266,Zimbabwe,2022,51.28333333,3,1,3.296
